	SHH_WT_models_highres10707.py	SHH_WT_models_highres3231.py	SHH_WT_models_highres35888.py	SHH_WT_models_highres20684.py	SHH_WT_models_highres40627.py	SHH_WT_models_highres24225.py	SHH_WT_models_highres23364.py	SHH_WT_models_highres15190.py	SHH_WT_models_highres27253.py	SHH_WT_models_highres12843.py	SHH_WT_models_highres42759.py	SHH_WT_models_highres31883.py	SHH_WT_models_highres47931.py	SHH_WT_models_highres48059.py	SHH_WT_models_highres16260.py	SHH_WT_models_highres39011.py	SHH_WT_models_highres7416.py	SHH_WT_models_highres24273.py	SHH_WT_models_highres44329.py	SHH_WT_models_highres8834.py	SHH_WT_models_highres30274.py	SHH_WT_models_highres4341.py	SHH_WT_models_highres7736.py	SHH_WT_models_highres8869.py	SHH_WT_models_highres1378.py	SHH_WT_models_highres4863.py	SHH_WT_models_highres42121.py	SHH_WT_models_highres44157.py	SHH_WT_models_highres38493.py	SHH_WT_models_highres32152.py	SHH_WT_models_highres9291.py	SHH_WT_models_highres49590.py	SHH_WT_models_highres12741.py	SHH_WT_models_highres32352.py	SHH_WT_models_highres27213.py	SHH_WT_models_highres4191.py	SHH_WT_models_highres45161.py	SHH_WT_models_highres33371.py	SHH_WT_models_highres36644.py	SHH_WT_models_highres5327.py	SHH_WT_models_highres40612.py	SHH_WT_models_highres7009.py	SHH_WT_models_highres45679.py	SHH_WT_models_highres31237.py	SHH_WT_models_highres38046.py	SHH_WT_models_highres46795.py	SHH_WT_models_highres40714.py	SHH_WT_models_highres32499.py	SHH_WT_models_highres46847.py	SHH_WT_models_highres11523.py	SHH_WT_models_highres9943.py	SHH_WT_models_highres34831.py	SHH_WT_models_highres15191.py	SHH_WT_models_highres9675.py	SHH_WT_models_highres34949.py	SHH_WT_models_highres30124.py	SHH_WT_models_highres40847.py	SHH_WT_models_highres12921.py	SHH_WT_models_highres38933.py	SHH_WT_models_highres26145.py	SHH_WT_models_highres2200.py	SHH_WT_models_highres17007.py	SHH_WT_models_highres15002.py	SHH_WT_models_highres27394.py	SHH_WT_models_highres34461.py	SHH_WT_models_highres15620.py	SHH_WT_models_highres44104.py	SHH_WT_models_highres8601.py	SHH_WT_models_highres29052.py	SHH_WT_models_highres27492.py	SHH_WT_models_highres40816.py	SHH_WT_models_highres23466.py	SHH_WT_models_highres5002.py	SHH_WT_models_highres8490.py	SHH_WT_models_highres15001.py	SHH_WT_models_highres40730.py	SHH_WT_models_highres9303.py	SHH_WT_models_highres1427.py	SHH_WT_models_highres4519.py	SHH_WT_models_highres29850.py	SHH_WT_models_highres6063.py	SHH_WT_models_highres9547.py	SHH_WT_models_highres42018.py	SHH_WT_models_highres16398.py	SHH_WT_models_highres43177.py	
SHH_WT_models_highres42759.py	280.723	1763.757	1767.223	427.102	384.421	440.743	1744.507	357.068	386.21	292.577	0.0	341.125	387.738	438.148	458.31	380.78	342.631	1785.953	388.095	510.35	398.777	418.864	415.839	336.721	1757.781	1714.081	1721.325	1776.399	361.55	485.541	1754.318	411.435	1708.39	460.889	460.77	1754.207	443.897	372.251	1777.371	1755.021	1777.717	1684.922	401.277	1766.97	510.837	479.13	351.34	1739.597	322.028	1787.245	402.828	1760.857	1744.425	398.589	1769.827	1739.443	333.115	362.627	1718.602	411.351	329.598	1713.001	502.805	429.153	1694.841	429.852	1725.433	1700.733	466.409	328.088	499.815	454.129	483.237	424.955	1749.479	1748.018	453.989	1732.645	323.72	470.723	1712.264	1747.548	1666.413	214.876	1785.769	
SHH_WT_models_highres31883.py	237.355	1767.302	1762.828	380.223	357.742	364.248	1745.762	224.622	252.605	247.783	341.125	0.0	175.051	339.472	396.32	148.74	253.945	1780.201	121.508	480.309	166.661	411.291	339.182	180.938	1764.951	1729.159	1737.332	1763.345	155.836	351.196	1752.78	412.819	1719.741	362.7	343.481	1764.217	394.23	261.832	1780.503	1764.497	1764.128	1680.82	250.347	1802.723	404.64	361.895	426.13	1752.27	363.857	1778.077	200.257	1769.79	1753.212	207.065	1762.327	1734.994	140.847	250.952	1722.322	270.389	295.544	1729.598	356.556	318.798	1693.964	273.778	1724.336	1710.387	344.56	288.959	481.418	418.126	277.801	280.301	1741.853	1737.808	317.244	1745.679	369.965	359.816	1725.699	1762.907	1687.317	338.173	1767.654	
SHH_WT_models_highres47931.py	280.411	1754.231	1745.78	396.562	375.107	365.912	1737.091	265.326	296.541	253.747	387.738	175.051	0.0	347.487	364.614	203.391	231.604	1770.262	172.506	486.103	155.332	418.288	261.621	309.377	1764.022	1727.035	1723.084	1748.868	200.982	372.123	1740.478	418.749	1715.685	340.821	391.055	1761.142	397.589	255.62	1768.176	1753.666	1751.898	1672.718	263.746	1813.672	416.139	375.553	427.86	1750.824	332.217	1761.935	243.102	1767.576	1755.064	221.392	1742.862	1721.494	267.137	189.163	1720.428	338.884	271.145	1730.499	361.123	199.752	1679.063	278.178	1718.359	1703.763	251.452	324.539	465.262	416.203	256.308	267.317	1725.905	1719.343	361.518	1748.214	333.359	408.235	1721.594	1752.665	1679.659	368.806	1752.934	
SHH_WT_models_highres48059.py	372.687	1739.211	1740.746	190.797	439.412	188.808	1709.298	351.861	401.691	354.763	438.148	339.472	347.487	0.0	218.143	361.868	387.884	1753.211	360.368	281.766	349.164	241.424	406.219	372.215	1728.148	1685.901	1714.619	1739.985	369.124	230.993	1725.442	248.16	1677.782	192.81	186.507	1726.676	203.128	384.632	1742.244	1721.82	1745.265	1649.16	379.066	1769.607	257.49	259.71	277.451	1705.418	444.473	1761.747	384.864	1735.051	1760.872	363.836	1737.738	1706.753	373.155	400.519	1689.637	434.693	418.434	1690.495	244.726	389.777	1673.173	414.827	1692.103	1667.793	442.672	395.829	335.673	213.029	418.001	408.757	1711.215	1697.88	201.779	1758.248	453.757	254.221	1688.579	1717.038	1656.744	465.801	1749.934	
SHH_WT_models_highres16260.py	356.102	1738.251	1737.572	191.366	402.211	174.957	1707.216	394.994	393.83	343.219	458.31	396.32	364.614	218.143	0.0	401.786	354.639	1747.865	398.369	265.507	388.212	223.584	377.945	426.925	1731.182	1679.514	1713.177	1732.615	382.022	248.246	1717.268	203.008	1673.222	242.55	254.05	1728.383	215.069	380.698	1733.853	1714.032	1733.971	1647.623	404.053	1769.044	260.316	208.063	280.698	1702.236	414.768	1762.367	411.143	1731.115	1760.125	395.896	1740.761	1703.7	436.181	356.847	1686.166	428.106	365.522	1686.212	269.481	389.241	1671.981	419.214	1692.106	1658.663	418.981	377.237	257.929	206.685	431.585	404.884	1712.47	1696.888	276.724	1752.477	418.522	300.812	1683.56	1704.476	1650.594	430.163	1744.277	
SHH_WT_models_highres39011.py	285.348	1766.334	1757.802	398.324	388.163	392.806	1747.906	242.18	260.742	280.143	380.78	148.74	203.391	361.868	401.786	0.0	283.344	1773.011	105.16	494.059	147.214	418.06	361.61	224.23	1764.65	1736.283	1735.287	1752.015	184.539	334.791	1749.307	430.105	1725.172	341.45	373.541	1769.183	406.641	269.914	1776.997	1764.467	1756.289	1681.081	265.231	1811.223	403.262	376.304	446.974	1758.118	378.228	1772.398	120.531	1770.478	1760.498	183.843	1755.237	1732.651	175.681	282.864	1722.472	281.435	292.882	1735.896	317.056	309.614	1693.046	215.87	1724.503	1714.195	293.252	338.413	469.644	453.501	194.613	249.177	1737.272	1729.319	342.226	1749.846	357.344	344.313	1731.186	1765.133	1690.551	357.446	1757.028	
SHH_WT_models_highres7416.py	189.08	1737.614	1737.764	369.463	320.731	369.569	1715.177	276.785	305.682	182.093	342.631	253.945	231.604	387.884	354.639	283.344	0.0	1761.6	272.591	467.732	288.545	385.85	262.593	317.638	1740.347	1693.919	1708.551	1744.266	201.879	401.953	1726.103	370.421	1689.966	377.746	400.859	1736.269	395.263	309.488	1748.246	1728.901	1744.837	1656.737	304.825	1784.697	429.274	379.6	417.705	1723.628	305.379	1758.883	311.556	1744.407	1724.325	254.926	1738.158	1706.362	305.003	221.343	1702.666	317.988	185.25	1700.589	419.2	276.969	1663.211	304.825	1698.847	1677.049	337.17	204.652	447.759	392.676	361.556	325.693	1717.443	1713.928	388.178	1715.42	347.931	424.482	1695.485	1723.616	1650.542	323.734	1750.438	
SHH_WT_models_highres24273.py	1752.625	224.025	234.245	1730.914	1690.895	1750.582	389.188	1732.007	1736.989	1752.901	1785.953	1780.201	1770.262	1753.211	1747.865	1773.011	1761.6	0.0	1774.228	1672.46	1767.545	1740.01	1723.653	1771.793	391.911	352.537	354.689	217.436	1776.931	1755.756	199.982	1743.046	354.677	1737.982	1747.539	374.343	1762.285	1763.055	148.36	183.264	181.791	457.421	1728.686	675.787	1697.065	1772.92	1754.687	369.6	1733.152	194.827	1783.721	332.794	478.898	1760.52	329.458	222.837	1781.494	1777.723	428.271	1742.449	1787.328	355.111	1755.464	1767.441	381.007	1784.76	404.736	393.877	1779.945	1736.111	1706.713	1732.591	1790.485	1741.563	348.786	369.559	1763.907	495.624	1746.919	1756.021	374.108	196.954	426.882	1802.342	242.397	
SHH_WT_models_highres44329.py	285.175	1760.377	1755.055	395.319	388.153	376.784	1731.852	238.149	265.918	281.564	388.095	121.508	172.506	360.368	398.369	105.16	272.591	1774.228	0.0	494.803	123.022	424.013	354.69	232.738	1748.403	1714.822	1728.819	1753.233	159.034	334.586	1746.062	426.623	1705.842	345.313	367.571	1749.644	402.847	282.415	1771.638	1757.758	1757.848	1665.603	259.432	1793.585	400.686	366.071	443.296	1738.562	374.578	1772.587	163.582	1750.777	1741.573	187.528	1753.026	1727.112	178.822	258.8	1706.248	278.033	291.869	1714.681	320.956	306.701	1686.979	225.901	1706.92	1695.495	303.752	326.571	465.911	446.369	199.43	245.868	1731.789	1722.678	332.885	1732.95	371.867	345.206	1711.787	1755.482	1678.019	366.396	1757.897	
SHH_WT_models_highres8834.py	434.728	1660.658	1666.72	272.85	392.862	262.994	1639.105	414.711	403.289	433.399	510.35	480.309	486.103	281.766	265.507	494.059	467.732	1672.46	494.803	0.0	476.942	292.359	439.893	478.947	1655.968	1608.696	1645.428	1665.091	487.771	340.655	1642.142	272.465	1605.331	342.524	310.619	1659.847	293.652	428.313	1662.18	1635.743	1665.952	1586.255	425.724	1702.99	232.026	317.066	353.742	1627.462	469.86	1684.829	507.401	1663.346	1696.494	486.752	1666.864	1632.668	499.851	482.848	1608.237	442.45	492.59	1616.668	384.945	516.727	1610.999	524.612	1620.924	1591.891	554.515	443.521	242.702	253.963	538.484	453.379	1641.284	1635.186	349.628	1699.009	461.275	346.35	1615.929	1629.854	1585.138	517.937	1678.403	
SHH_WT_models_highres30274.py	295.209	1754.228	1746.14	394.666	390.54	370.259	1735.873	255.177	281.699	281.427	398.777	166.661	155.332	349.164	388.212	147.214	288.545	1767.545	123.022	476.942	0.0	418.506	339.112	275.434	1758.715	1726.643	1722.762	1745.105	202.306	352.676	1738.398	430.838	1714.319	342.834	378.827	1761.392	378.653	244.115	1765.261	1752.081	1749.692	1669.698	279.056	1810.122	405.772	372.935	440.429	1748.135	376.136	1763.185	187.12	1764.539	1754.604	197.28	1743.355	1720.068	232.885	247.555	1713.481	322.028	291.31	1729.075	336.204	254.919	1680.707	250.146	1714.413	1702.714	266.916	324.954	457.564	432.017	225.353	236.09	1724.305	1718.248	353.077	1750.448	359.382	365.324	1720.549	1751.909	1679.22	377.864	1747.087	
SHH_WT_models_highres4341.py	358.667	1735.145	1741.809	158.871	437.788	178.481	1705.401	428.717	432.685	348.687	418.864	411.291	418.288	241.424	223.584	418.06	385.85	1740.01	424.013	292.359	418.506	0.0	450.456	424.154	1721.641	1665.591	1715.18	1736.54	400.556	253.724	1717.332	171.527	1668.23	247.929	241.804	1719.337	187.934	396.528	1735.995	1703.05	1733.257	1654.38	452.975	1737.99	306.887	261.519	249.03	1691.634	455.26	1764.753	449.314	1716.596	1752.464	413.543	1743.817	1717.363	430.744	404.804	1680.8	456.616	370.973	1670.787	312.38	441.978	1677.931	471.331	1691.328	1658.383	468.096	389.924	295.543	182.868	485.34	453.146	1721.089	1702.993	263.281	1745.21	444.751	292.64	1675.811	1700.899	1654.675	421.213	1752.079	
SHH_WT_models_highres7736.py	331.093	1698.742	1695.808	448.213	282.192	424.855	1688.835	263.778	297.453	295.27	415.839	339.182	261.621	406.219	377.945	361.61	262.593	1723.653	354.69	439.893	339.112	450.456	0.0	413.965	1715.654	1685.006	1667.875	1703.653	327.29	462.643	1691.493	421.342	1675.519	421.76	476.703	1715.786	443.525	345.053	1714.276	1699.943	1707.603	1632.583	246.079	1767.07	406.924	448.929	471.405	1703.102	244.84	1716.51	378.274	1725.922	1711.468	354.563	1694.17	1669.695	397.353	287.701	1680.334	339.65	312.507	1692.783	463.026	267.339	1621.279	372.139	1674.86	1660.47	358.25	344.632	413.232	435.007	406.622	300.07	1673.491	1673.535	456.124	1708.675	294.3	489.311	1682.79	1696.153	1623.428	429.563	1710.531	
SHH_WT_models_highres8869.py	225.643	1743.627	1749.254	377.391	377.557	406.914	1718.081	268.615	266.878	263.166	336.721	180.938	309.377	372.215	426.925	224.23	317.638	1771.793	232.738	478.947	275.434	424.154	413.965	0.0	1731.933	1700.852	1718.465	1758.224	237.821	379.99	1733.352	432.857	1690.878	412.557	347.934	1735.083	406.389	307.095	1757.7	1741.51	1757.944	1657.272	309.128	1776.142	412.536	373.191	452.346	1719.292	422.011	1771.914	229.901	1749.651	1722.306	284.356	1749.492	1719.231	149.935	349.664	1688.833	262.476	332.432	1700.009	387.691	411.776	1676.863	325.639	1698.768	1678.483	432.71	288.809	502.068	446.671	353.575	336.224	1727.205	1724.697	349.616	1718.311	414.647	346.744	1696.15	1734.08	1654.912	342.609	1764.017	
SHH_WT_models_highres1378.py	1731.512	347.206	380.108	1707.478	1678.462	1733.073	207.512	1704.152	1712.553	1731.067	1757.781	1764.951	1764.022	1728.148	1731.182	1764.65	1740.347	391.911	1748.403	1655.968	1758.715	1721.641	1715.654	1731.933	0.0	272.749	440.619	446.014	1740.521	1734.218	401.872	1722.208	253.067	1720.104	1720.145	175.368	1744.141	1754.771	405.775	414.912	430.877	307.932	1702.227	600.428	1664.514	1745.791	1733.725	259.18	1717.118	364.752	1762.501	292.91	354.058	1730.025	405.827	394.9	1749.194	1773.464	227.955	1704.768	1771.636	244.284	1732.876	1761.049	447.655	1776.803	212.763	281.415	1775.101	1714.024	1687.697	1720.801	1756.882	1718.724	428.379	492.012	1736.141	484.244	1734.368	1719.71	267.565	452.26	501.59	1778.643	452.415	
SHH_WT_models_highres4863.py	1687.369	368.543	392.073	1656.285	1643.307	1678.41	216.418	1677.305	1680.397	1687.886	1714.081	1729.159	1727.035	1685.901	1679.514	1736.283	1693.919	352.537	1714.822	1608.696	1726.643	1665.591	1685.006	1700.852	272.749	0.0	491.435	382.893	1701.683	1686.882	359.252	1668.502	146.349	1671.341	1668.928	230.759	1690.678	1717.597	350.357	317.269	359.022	356.442	1673.78	586.682	1626.601	1691.33	1680.003	235.834	1678.848	412.388	1734.187	257.366	370.701	1696.701	474.559	378.277	1717.319	1732.982	279.225	1673.755	1725.437	109.536	1689.926	1728.647	477.825	1744.135	275.502	166.525	1734.366	1668.495	1641.388	1661.093	1722.746	1686.053	466.308	508.536	1689.879	470.43	1697.141	1677.699	152.984	327.03	476.905	1729.412	396.658	
SHH_WT_models_highres42121.py	1701.051	325.854	335.228	1700.078	1639.014	1717.311	436.658	1678.28	1682.656	1700.17	1721.325	1737.332	1723.084	1714.619	1713.177	1735.287	1708.551	354.689	1728.819	1645.428	1722.762	1715.18	1667.875	1718.465	440.619	491.435	0.0	403.748	1721.532	1738.664	378.114	1717.627	489.936	1713.227	1722.64	458.252	1730.062	1711.414	376.459	372.673	397.715	424.728	1675.212	691.558	1659.964	1736.375	1738.477	451.771	1669.432	322.859	1742.67	467.307	511.541	1707.751	376.026	358.333	1742.84	1720.882	446.793	1687.282	1732.437	500.338	1733.386	1715.833	304.408	1753.058	441.037	513.93	1732.236	1686.567	1674.619	1707.188	1746.897	1688.363	385.487	448.848	1749.739	570.014	1681.173	1732.014	507.768	432.247	309.346	1746.813	422.856	
SHH_WT_models_highres44157.py	1741.061	306.06	240.607	1725.246	1680.862	1743.91	382.569	1717.595	1721.297	1739.331	1776.399	1763.345	1748.868	1739.985	1732.615	1752.015	1744.266	217.436	1753.233	1665.091	1745.105	1736.54	1703.653	1758.224	446.014	382.893	403.748	0.0	1757.53	1752.556	282.075	1739.475	394.629	1724.437	1742.148	404.231	1754.768	1745.952	257.96	256.652	206.043	419.006	1712.903	711.996	1681.966	1759.271	1757.667	418.356	1716.404	310.372	1760.98	310.119	489.757	1742.287	310.276	266.354	1770.618	1758.857	462.825	1727.138	1767.335	409.516	1745.954	1742.997	366.314	1759.966	407.165	442.897	1749.411	1727.369	1696.671	1723.598	1762.025	1720.46	282.901	276.313	1763.5	441.583	1728.474	1756.537	418.192	295.776	466.095	1795.929	170.497	
